,Best_Bid_Creates,Best_Bid_Joins,Best_Offer_Creates,Best_Offer_Joins,Date,Symbol
X,0.6215936529837875,0.697982092743552,0.3856375323803128,0.3231344316765887,2018-01-05,UPRO
Y,0.6602794898395069,0.7198337162236079,0.34453561452513964,0.29626920263350404,2018-01-05,UPRO
Z,0.6631465642636877,0.7240644683216005,0.3516082107645062,0.30322376404790796,2018-01-05,UPRO
A,0.564030131826742,0.7193192713326941,0.37222222222222223,0.20766773162939298,2018-04-19,ORCL
B,0.543815028901734,0.665507700339337,0.353936136579197,0.24087897173878334,2018-04-19,ORCL
C,0.0,0.0,0.0,0.0,2018-04-19,ORCL
D,0.0,0.0,0.0,0.0,2018-04-19,ORCL
I,0.0,0.0,0.0,0.0,2018-04-19,ORCL
J,0.5350348858011807,0.6346859451043584,0.37590393714846887,0.27692418408837394,2018-04-19,ORCL
K,0.4936601584145507,0.5736476857302187,0.4119923747905956,0.3377359081092923,2018-04-19,ORCL
M,1.0,1.0,1.0,0.0,2018-04-19,ORCL
N,0.49349179400113186,0.5698410576712761,0.4114106476771787,0.3399262632834526,2018-04-19,ORCL
P,0.5037374598386991,0.5832210655235762,0.40060112939462017,0.3246677873839257,2018-04-19,ORCL
S,0.0,0.0,0.0,0.0,2018-04-19,ORCL
T,0.49364803423375236,0.5768345205097142,0.40652900929647473,0.33191433964720435,2018-04-19,ORCL
Q,0.0,0.0,0.0,0.0,2018-04-19,ORCL
V,0.5238378667936432,0.671454469390601,0.35765203831588327,0.20520952551674687,2018-04-19,ORCL
W,0.0,0.0,0.0,0.0,2018-04-19,ORCL
X,0.46758684863523575,0.546454347577042,0.3806857255133117,0.2844834626378113,2018-04-19,ORCL
Y,0.5280437756497948,0.6460132612692929,0.37726087496378463,0.272944575329745,2018-04-19,ORCL
Z,0.49478469346452036,0.5708451682900367,0.40859397013243165,0.33625018737820417,2018-04-19,ORCL
A,0.570281124497992,0.4637223974763407,0.30378486055776893,0.2630691399662732,2018-02-14,MCD
B,0.6409411454557438,0.6414680648236416,0.3813122638268636,0.35088900862068967,2018-02-14,MCD
C,0.0,0.0,0.0,0.0,2018-02-14,MCD
D,0.0,0.0,0.0,0.0,2018-02-14,MCD
I,0.0,0.0,0.0,0.0,2018-02-14,MCD
J,0.6318279569892473,0.5605275553462082,0.33771106941838647,0.308125,2018-02-14,MCD
K,0.6484753713838937,0.6395568128241396,0.35735519322583553,0.31828832161795534,2018-02-14,MCD
M,0.5361111111111111,0.6854838709677419,0.4195804195804196,0.2894736842105263,2018-02-14,MCD
N,0.6624992663027528,0.6386937389021848,0.3617310577644411,0.33619737326623295,2018-02-14,MCD
P,0.669185687847008,0.6321271929824561,0.3350788947839868,0.32268743914313536,2018-02-14,MCD
S,0.0,0.0,0.0,0.0,2018-02-14,MCD
T,0.6605783866057838,0.6331911593640946,0.36474291710388246,0.33561931420573826,2018-02-14,MCD
Q,0.0,0.0,0.0,0.0,2018-02-14,MCD
V,0.6803849303849304,0.6902074990899163,0.35973597359735976,0.3094899731564819,2018-02-14,MCD
W,0.0,0.0,0.0,0.0,2018-02-14,MCD
X,0.6937219730941704,0.5956651718983558,0.30175566934893927,0.26600728787090056,2018-02-14,MCD
Y,0.6641379310344827,0.6424717999019127,0.3606508875739645,0.32605177993527507,2018-02-14,MCD
Z,0.682450794696533,0.6469276511397423,0.33649810801513586,0.32061216582719876,2018-02-14,MCD
A,0.526431718061674,0.6412103746397695,0.4199288256227758,0.258252427184466,2018-07-16,DIS
B,0.5762139466958744,0.7018615474112856,0.30822072922171057,0.1980728948470884,2018-07-16,DIS
C,0.6004672897196262,0.7576231430805317,0.17289719626168223,0.14545454545454545,2018-07-16,DIS
D,0.0,0.0,0.0,0.0,2018-07-16,DIS
I,0.0,0.0,0.0,0.0,2018-07-16,DIS
J,0.6366538952745849,0.782608695652174,0.24108170310701957,0.1735817104149026,2018-07-16,DIS
K,0.5712295367467781,0.6672890484739676,0.31852921195652173,0.24354998350379412,2018-07-16,DIS
M,0.5487804878048781,0.543859649122807,0.45267489711934156,0.26126126126126126,2018-07-16,DIS
N,0.5842592592592593,0.6629967776584318,0.32615516257843696,0.255306478369986,2018-07-16,DIS
P,0.58644727243252,0.6703527435610303,0.3098830461565932,0.24388915367331654,2018-07-16,DIS
S,0.0,0.0,0.0,0.0,2018-07-16,DIS
T,0.5728670162059104,0.651720379884789,0.33708721919174145,0.26367844092570036,2018-07-16,DIS
Q,0.0,0.0,0.0,0.0,2018-07-16,DIS
V,0.5625,0.6673042966450854,0.2825727122251123,0.19566616605878567,2018-07-16,DIS
W,0.0,0.0,0.0,0.0,2018-07-16,DIS
X,0.6100254885301615,0.7642928786359077,0.3196125907990315,0.19287833827893175,2018-07-16,DIS
Y,0.6468456596936254,0.7237848347375243,0.23532958199356913,0.17061114439784303,2018-07-16,DIS
Z,0.5728568498769483,0.6586129065353442,0.3202941803453421,0.24624249699879952,2018-07-16,DIS
A,0.417910447761194,0.22916666666666666,0.6042296072507553,0.6885758998435054,2018-11-19,GOOG
B,0.4576671035386632,0.4448495897903373,0.4929484644787136,0.5088815789473684,2018-11-19,GOOG
C,0.5746667896508786,0.584680034240357,0.39583439425574174,0.4230565758249067,2018-11-19,GOOG
D,0.0,0.0,0.0,0.0,2018-11-19,GOOG
I,0.0,0.0,0.0,0.0,2018-11-19,GOOG
J,0.3790304396843292,0.24566929133858267,0.1815550839282269,0.14696253182975627,2018-11-19,GOOG
K,0.5581275720164609,0.5149253731343284,0.44181256436663235,0.5833333333333334,2018-11-19,GOOG
M,0.6716020136215576,0.7278481012658228,0.33965348152991176,0.38588235294117645,2018-11-19,GOOG
N,0.5297297297297298,0.7625,0.5220994475138122,0.6097560975609756,2018-11-19,GOOG
P,0.38637545501820075,0.3553915106775639,0.5260518590998043,0.5160550458715596,2018-11-19,GOOG
S,0.0,0.0,0.0,0.0,2018-11-19,GOOG
T,0.0,0.0,0.0,0.0,2018-11-19,GOOG
Q,0.5760981316694438,0.5397579081120846,0.3998237668804689,0.41014830248805,2018-11-19,GOOG
V,0.5756185210780926,0.5692600242614996,0.4019819781254682,0.43679728835978837,2018-11-19,GOOG
W,0.0,0.0,0.0,0.0,2018-11-19,GOOG
X,0.4763364629239318,0.5444976076555024,0.36058360352014823,0.30337078651685395,2018-11-19,GOOG
Y,0.7634539373669809,0.8829113924050633,0.5252930785289867,0.62778730703259,2018-11-19,GOOG
Z,0.5190685116436045,0.36519114688128773,0.4719053654414871,0.49593147751606,2018-11-19,GOOG
A,0.7110187110187111,0.8293827739967143,0.5472154963680388,0.3316532258064516,2018-08-16,GILD
B,0.6784279000068115,0.7928774306314179,0.44480976984499765,0.295059505167554,2018-08-16,GILD
C,0.6653926766120084,0.7930006773538044,0.47608034083992695,0.3022694350555287,2018-08-16,GILD
D,0.0,0.0,0.0,0.0,2018-08-16,GILD
I,0.0,0.0,0.0,0.0,2018-08-16,GILD
J,0.710587550901687,0.8386400833209344,0.4850468230792468,0.318022264567245,2018-08-16,GILD
K,0.6441788743253662,0.7616575612631197,0.49672115567382624,0.3569988801791713,2018-08-16,GILD
M,0.5094339622641509,0.7090909090909091,0.42771084337349397,0.4090909090909091,2018-08-16,GILD
N,0.6395408821253546,0.7672339611817574,0.5023527361449982,0.342599158511795,2018-08-16,GILD
P,0.619713577758179,0.7373824436399854,0.5094994824535043,0.37674103870228004,2018-08-16,GILD
S,0.0,0.0,0.0,0.0,2018-08-16,GILD
T,0.0,0.0,0.0,0.0,2018-08-16,GILD
Q,0.6180642036806421,0.7249455424292052,0.5135820250612128,0.3746655985974034,2018-08-16,GILD
V,0.6653383716935761,0.7881529197591374,0.47693057841165354,0.2959363957597173,2018-08-16,GILD
W,0.0,0.0,0.0,0.0,2018-08-16,GILD
X,0.676026676026676,0.7928838572728192,0.35697399527186763,0.18597857838364168,2018-08-16,GILD
Y,0.677858278847853,0.8172229043420025,0.43660030627871366,0.2956841138659321,2018-08-16,GILD
Z,0.6335219292965771,0.7409568684305908,0.5011988832320579,0.37253308777061556,2018-08-16,GILD
A,0.2318118948824343,0.3346339480103874,0.12861225785963798,0.07545500505561173,2018-05-25,BAC
B,0.18590467585272194,0.266002102662093,0.17990189579742807,0.09250570485774794,2018-05-25,BAC
C,0.9696969696969697,0.8269230769230769,0.0,0.06201550387596899,2018-05-25,BAC
D,0.0,0.0,0.0,0.0,2018-05-25,BAC
I,0.0,0.0,0.0,0.0,2018-05-25,BAC
J,0.17944284341978867,0.25364255414558645,0.20510648596321393,0.09697728059800968,2018-05-25,BAC
K,0.16815419153479713,0.22705756155874096,0.2645335389360062,0.1108651374389982,2018-05-25,BAC
M,0.14381270903010032,0.20982800982800984,0.18888888888888888,0.07627321909229007,2018-05-25,BAC
N,0.19121378727003596,0.23110802347195006,0.2945540988330212,0.11556768420384592,2018-05-25,BAC
P,0.18572625405801654,0.22921926369023807,0.28343767785998863,0.11540934665288782,2018-05-25,BAC
S,0.0,0.0,0.0,0.0,2018-05-25,BAC
T,0.16173258917738412,0.22801864275666137,0.23303960988963984,0.10354775550465121,2018-05-25,BAC
Q,0.0,0.0,0.0,0.0,2018-05-25,BAC
V,0.17549130053824008,0.279309335155231,0.17479074347612014,0.08939571135245918,2018-05-25,BAC
W,0.0,0.0,0.0,0.0,2018-05-25,BAC
X,0.1578186325139434,0.2337825371060222,0.20666945431737405,0.1022956175690282,2018-05-25,BAC
Y,0.1783705608227543,0.25455548104450126,0.21865141955835962,0.09890078961769995,2018-05-25,BAC
Z,0.15717884130982368,0.22596635369857584,0.2459712286769908,0.11026261440908128,2018-05-25,BAC
A,0.5953846153846154,0.6911789796962976,0.42018348623853213,0.231675815305134,2018-08-08,TEVA
B,0.6190376787391713,0.7422952063746364,0.37640953357252693,0.26546446994270034,2018-08-08,TEVA
C,0.6265538674033149,0.7527933500869901,0.3723966428349394,0.24636317931918067,2018-08-08,TEVA
D,0.0,0.0,0.0,0.0,2018-08-08,TEVA
I,0.0,0.0,0.0,0.0,2018-08-08,TEVA
J,0.618080189186284,0.7311149317721822,0.38747522790328975,0.2720759477293311,2018-08-08,TEVA
K,0.5885866666666667,0.6625542852078348,0.39376674466714146,0.3152297791036771,2018-08-08,TEVA
M,0.6666666666666666,1.0,0.6,0.8,2018-08-08,TEVA
N,0.5759763807323257,0.6504572867651932,0.4042559734309173,0.32412119871024847,2018-08-08,TEVA
P,0.601499504880464,0.6680374929900926,0.38583675239334203,0.3142923449259026,2018-08-08,TEVA
S,0.0,0.0,0.0,0.0,2018-08-08,TEVA
T,0.576188541243397,0.6552564588636733,0.40431493415522557,0.3202857924244496,2018-08-08,TEVA
Q,0.0,0.0,0.0,0.0,2018-08-08,TEVA
V,0.6223619218679838,0.7504426253410819,0.358896991031766,0.23212458560144067,2018-08-08,TEVA
W,0.0,0.0,0.0,0.0,2018-08-08,TEVA
X,0.5641471184477266,0.6610753809606582,0.4094028189910979,0.311721141502913,2018-08-08,TEVA
Y,0.631212371620824,0.7199666549437953,0.36788543251324557,0.27483101117395503,2018-08-08,TEVA
Z,0.5782332941022623,0.6536807806647743,0.4008375988832015,0.32275884090364815,2018-08-08,TEVA
A,0.3875968992248062,0.3963963963963964,0.42201834862385323,0.3153153153153153,2018-12-14,GOOG
B,0.5251366120218579,0.46194225721784776,0.44169381107491856,0.43523002421307505,2018-12-14,GOOG
C,0.5357841708647321,0.49260078733369733,0.430832220221848,0.38092951552983395,2018-12-14,GOOG
D,0.0,0.0,0.0,0.0,2018-12-14,GOOG
I,0.0,0.0,0.0,0.0,2018-12-14,GOOG
J,0.36999517607332366,0.2935507783543366,0.1923449612403101,0.11555075593952484,2018-12-14,GOOG
K,0.6423395445134575,0.5670650730411687,0.4611844737895158,0.36492374727668847,2018-12-14,GOOG
M,0.48815566835871405,0.7292576419213974,0.4367001828153565,0.34552102376599636,2018-12-14,GOOG
N,0.4669421487603306,0.4603174603174603,0.26576576576576577,0.25853658536585367,2018-12-14,GOOG
P,0.6814159292035398,0.6808100289296046,0.41366590549798,0.393018018018018,2018-12-14,GOOG
S,0.0,0.0,0.0,0.0,2018-12-14,GOOG
T,0.0,0.0,0.0,0.0,2018-12-14,GOOG
Q,0.5541782300339192,0.5157819225251076,0.3918585526315789,0.3551648856716075,2018-12-14,GOOG
V,0.5384928551072752,0.45351174770699837,0.4431581007044091,0.38222416812609455,2018-12-14,GOOG
W,0.0,0.0,0.0,0.0,2018-12-14,GOOG
X,0.45387062566277836,0.42018348623853213,0.25,0.23905723905723905,2018-12-14,GOOG
Y,0.7161265130808278,0.6945454545454546,0.5175072277545776,0.4918190567853705,2018-12-14,GOOG
Z,0.5793309661745468,0.5483870967741935,0.38972477064220185,0.38214134574693187,2018-12-14,GOOG
A,0.7444444444444445,0.7068965517241379,0.41825095057034223,0.31794871794871793,2018-06-18,NFLX
B,0.7383360522022838,0.7617994100294986,0.409954928473447,0.3420849420849421,2018-06-18,NFLX
C,1.0,0.0,0.0,0.0,2018-06-18,NFLX
D,0.0,0.0,0.0,0.0,2018-06-18,NFLX
I,0.0,0.0,0.0,0.0,2018-06-18,NFLX
J,0.7650862068965517,0.7535714285714286,0.3279569892473118,0.2647058823529412,2018-06-18,NFLX
K,0.7325862447813667,0.7196554424432263,0.37546583850931675,0.361863488624052,2018-06-18,NFLX
M,0.6382978723404256,0.5636363636363636,0.49444444444444446,0.46153846153846156,2018-06-18,NFLX
N,0.7777777777777778,0.8888888888888888,0.3125,0.125,2018-06-18,NFLX
P,0.7406462585034014,0.7629979743416611,0.44308782985427336,0.42013552758954503,2018-06-18,NFLX
S,0.0,0.0,0.0,0.0,2018-06-18,NFLX
T,0.0,0.0,0.0,0.0,2018-06-18,NFLX
Q,0.7328014919187733,0.725920471281296,0.39343629343629344,0.3721849071513236,2018-06-18,NFLX
V,0.700163132137031,0.7358665430954587,0.4262066562118836,0.3704301075268817,2018-06-18,NFLX
W,0.0,0.0,0.0,0.0,2018-06-18,NFLX
X,0.7335526315789473,0.7586206896551724,0.3199513381995134,0.2571428571428571,2018-06-18,NFLX
Y,0.7531806615776081,0.7950819672131147,0.3797307594615189,0.336318407960199,2018-06-18,NFLX
Z,0.7415684681023974,0.74634858812074,0.3820451624747567,0.3674698795180723,2018-06-18,NFLX
A,0.825,0.9615384615384616,0.40540540540540543,0.0,2018-11-16,AMZN
B,0.6488188976377953,0.6639784946236559,0.425414364640884,0.4010152284263959,2018-11-16,AMZN
C,0.5897268199426473,0.5989840683444931,0.45482838342521786,0.4443889027743064,2018-11-16,AMZN
D,0.0,0.0,0.0,0.0,2018-11-16,AMZN
I,0.0,0.0,0.0,0.0,2018-11-16,AMZN
J,0.6625615763546798,0.6651785714285714,0.4537914691943128,0.4682352941176471,2018-11-16,AMZN
K,0.7076076993583869,0.7721088435374149,0.4076607387140903,0.36908517350157727,2018-11-16,AMZN
M,0.6343799893560405,0.6685878962536023,0.37998647734956054,0.24336283185840707,2018-11-16,AMZN
N,0.6241610738255033,0.7681159420289855,0.41013824884792627,0.3764705882352941,2018-11-16,AMZN
P,0.693,0.723986856516977,0.4077589764754437,0.4257620452310718,2018-11-16,AMZN
S,0.0,0.0,0.0,0.0,2018-11-16,AMZN
T,0.0,0.0,0.0,0.0,2018-11-16,AMZN
Q,0.6734349987362036,0.6774074529578158,0.42418772563176893,0.43763630698930317,2018-11-16,AMZN
V,0.5668691199237823,0.5760344827586207,0.4708099956915123,0.47167558024819567,2018-11-16,AMZN
W,0.0,0.0,0.0,0.0,2018-11-16,AMZN
X,0.692722371967655,0.5972696245733788,0.37707736389684815,0.33210332103321033,2018-11-16,AMZN
Y,0.7060478199718706,0.7083333333333334,0.3442028985507246,0.3961352657004831,2018-11-16,AMZN
Z,0.6793148880105402,0.6366001734605378,0.4062051134731399,0.4131147540983607,2018-11-16,AMZN
A,0.7115384615384616,0.4230769230769231,0.4628099173553719,0.3684210526315789,2018-02-22,NFLX
B,0.6711111111111111,0.6913183279742765,0.4263920671243326,0.411123227917121,2018-02-22,NFLX
C,0.0,0.0,0.0,0.0,2018-02-22,NFLX
D,0.0,0.0,0.0,0.0,2018-02-22,NFLX
I,0.0,0.0,0.0,0.0,2018-02-22,NFLX
J,0.699438202247191,0.6968325791855203,0.3161764705882353,0.296875,2018-02-22,NFLX
K,0.6621370067014147,0.6648467030659386,0.40030792917628943,0.39029202841357535,2018-02-22,NFLX
M,0.5847665847665847,0.5466666666666666,0.49085659287776706,0.38857142857142857,2018-02-22,NFLX
N,0.0,0.0,0.0,0.0,2018-02-22,NFLX
P,0.6937699680511182,0.6895958727429062,0.42340761537111776,0.4028536733454766,2018-02-22,NFLX
S,0.0,0.0,0.0,0.0,2018-02-22,NFLX
T,0.0,0.0,0.0,0.0,2018-02-22,NFLX
Q,0.6866908337648887,0.6680840724091848,0.3970617042115573,0.388422035480859,2018-02-22,NFLX
V,0.6764909367649093,0.7056251821626348,0.4061404738539184,0.386762360446571,2018-02-22,NFLX
W,0.0,0.0,0.0,0.0,2018-02-22,NFLX
X,0.6574907358390683,0.6620795107033639,0.4060660932548665,0.3895939086294416,2018-02-22,NFLX
Y,0.7138888888888889,0.6998616874135546,0.3803399173174093,0.42967651195499296,2018-02-22,NFLX
Z,0.6945181255526083,0.6710458526532715,0.41100141043723554,0.3948220064724919,2018-02-22,NFLX
A,0.5870236869207003,0.7211678832116788,0.41741472172351884,0.30583058305830585,2018-07-10,PEP
B,0.6687780956272987,0.7579333857854708,0.37397907095456867,0.24926881148630683,2018-07-10,PEP
C,0.6932773109243697,0.7540192926045016,0.42735042735042733,0.4189189189189189,2018-07-10,PEP
D,0.0,0.0,0.0,0.0,2018-07-10,PEP
I,0.0,0.0,0.0,0.0,2018-07-10,PEP
J,0.6840640222686152,0.7484948002189381,0.3669875557642639,0.24288310115081768,2018-07-10,PEP
K,0.635718466491074,0.716139554673096,0.39696347968814116,0.3027188328912467,2018-07-10,PEP
M,0.5803571428571429,0.7,0.4114285714285714,0.3620689655172414,2018-07-10,PEP
N,0.6541559868180153,0.7437556424917243,0.4108823529411765,0.30914687774846084,2018-07-10,PEP
P,0.6341246667513013,0.7143576826196474,0.4164089347079038,0.31767822736030826,2018-07-10,PEP
S,0.0,0.0,0.0,0.0,2018-07-10,PEP
T,0.0,0.0,0.0,0.0,2018-07-10,PEP
Q,0.6314278352412854,0.6890574214517876,0.40560536165027417,0.3312014618547282,2018-07-10,PEP
V,0.6234236651462303,0.7307864665023527,0.42266916120985343,0.32142857142857145,2018-07-10,PEP
W,0.0,0.0,0.0,0.0,2018-07-10,PEP
X,0.6211135213304411,0.7325467059980334,0.388529886914378,0.2916160388821385,2018-07-10,PEP
Y,0.6590656284760845,0.7610674070646306,0.37336860670194005,0.27074235807860264,2018-07-10,PEP
Z,0.6273470378763354,0.6995080949424519,0.4059579189962016,0.3139357786521132,2018-07-10,PEP
A,0.627906976744186,0.6428571428571429,0.4265402843601896,0.41843971631205673,2018-01-12,AMZN
B,0.6390532544378699,0.6973684210526315,0.45016077170418006,0.39101123595505616,2018-01-12,AMZN
C,0.0,0.0,0.0,0.0,2018-01-12,AMZN
D,0.0,0.0,0.0,0.0,2018-01-12,AMZN
I,0.0,0.0,0.0,0.0,2018-01-12,AMZN
J,0.64,0.65,0.47761194029850745,0.31985294117647056,2018-01-12,AMZN
K,0.6342655443931577,0.658273381294964,0.44534686971235193,0.3847102342786683,2018-01-12,AMZN
M,0.549346016646849,0.4915254237288136,0.459214501510574,0.358974358974359,2018-01-12,AMZN
N,0.0,0.0,0.0,0.0,2018-01-12,AMZN
P,0.6806393736747676,0.6883266244968372,0.45778795811518325,0.4042328042328042,2018-01-12,AMZN
S,0.0,0.0,0.0,0.0,2018-01-12,AMZN
T,0.0,0.0,0.0,0.0,2018-01-12,AMZN
Q,0.6622247047558251,0.6439744437100683,0.4210794297352342,0.4107142857142857,2018-01-12,AMZN
V,0.6858550499157267,0.65586903517938,0.39762611275964393,0.44258555133079847,2018-01-12,AMZN
W,0.0,0.0,0.0,0.0,2018-01-12,AMZN
X,0.6251029484434195,0.6749116607773852,0.4262295081967213,0.3801916932907348,2018-01-12,AMZN
Y,0.7176669484361792,0.7452229299363057,0.40997732426303857,0.4518900343642612,2018-01-12,AMZN
Z,0.6299465240641712,0.637660485021398,0.4641532756489493,0.43813847900113506,2018-01-12,AMZN
A,0.33419354838709675,0.4813794269292537,0.6434316353887399,0.2654004216085003,2018-08-22,GE
B,0.3908836261777438,0.5168234024512449,0.46218074656188607,0.28576268440162916,2018-08-22,GE
C,0.4677804295942721,0.5545313647116404,0.4202401372212693,0.24801654480732804,2018-08-22,GE
D,0.0,0.0,0.0,0.0,2018-08-22,GE
I,0.0,0.0,0.0,0.0,2018-08-22,GE
J,0.44046208530805686,0.5392595187077633,0.4606686332350049,0.2838842476701752,2018-08-22,GE
K,0.34926884139482567,0.4565346687324233,0.4945932028836251,0.31072504053741024,2018-08-22,GE
M,0.36954413191076624,0.5471463591478783,0.6363636363636364,0.9,2018-08-22,GE
N,0.34850418261732596,0.4565677263379794,0.5058977719528178,0.3122548208910793,2018-08-22,GE
P,0.3556843267108168,0.45636958563211644,0.48864197530864195,0.3114040001318001,2018-08-22,GE
S,0.0,0.0,0.0,0.0,2018-08-22,GE
T,0.3140957848617616,0.44982478257280717,0.5335180055401662,0.31356846860051435,2018-08-22,GE
Q,0.0,0.0,0.0,0.0,2018-08-22,GE
V,0.4013407169921306,0.5231129555820356,0.5159010600706714,0.28698387911633677,2018-08-22,GE
W,0.0,0.0,0.0,0.0,2018-08-22,GE
X,0.3522126816380449,0.4645208086354277,0.47889139542378345,0.29911389520066856,2018-08-22,GE
Y,0.38000801282051283,0.4997060814421604,0.4873328641801548,0.29519884227402354,2018-08-22,GE
Z,0.3399743845168635,0.454366932666495,0.5123390557939914,0.3132266374788099,2018-08-22,GE
A,0.44848156182212584,0.6741502308015107,0.41332426920462273,0.2151687822746814,2018-09-14,KR
